Main ID,Incident ID,Incident Type,Region of Incident,Incident Date,Incident Year,año,Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Country of Origin,Region of Origin,Cause of Death,Country of Incident,Migration Route,Location of Incident,localización,R2,T2,,Coordinates,lat,lon,UNSD Geographical Grouping,Information Source,URL,Source Quality
2025.MMP0054,2025.MMP0054,Incident,Mediterranean,2025-02-02,2025,2025,February,1,0,1,,,,,Unknown,Unknown,Drowning,Spain,Western Mediterranean,"Remains recovered at Playa S'Alga, S'Espalmador, Balearic Islands, Spain","Restos recuperados en Playa S'Alga, S'Espalmador, Islas Baleares, España",Sí,Sí,En España,"38.78080691, 1.428814395",38.78080691, 1.428814395,Uncategorized,"Diario de Ibiza, La Voz de Ibiza",https://perma.cc/X7YT-U9VY,3
2025.MMP0034,2025.MMP0034,Incident,Mediterranean,2025-01-23,2025,2025,January,2,0,2,,,2,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"Bodies recovered near Santa Catalina, Ceuta, Spain","Cadáveres recuperados cerca de Santa Catalina, Ceuta, España",Sí,Sí,En España,"35.90677175, -5.288160401",35.90677175, -5.288160401,Uncategorized,"Catalunya Press, Ceuta Actualidad",https://perma.cc/KF47-ZLJG,3
2025.MMP0025,2025.MMP0025,Incident,Northern Africa,2025-01-22,2025,2025,January,1,0,1,67,,,,Unknown,Sub-Saharan Africa,Mixed or unknown,Spain,Western Africa / Atlantic route to the Canary Islands,"3 kilometers south of La Restinga, Santa Cruz de Tenerife, Canary Islands, Spain","3 kilómetros al sur de La Restinga, Santa Cruz de Tenerife, Islas Canarias, España",Sí,Sí,En España,"27.601397, -17.980838",27.601397, -17.980838,Uncategorized,"Tiempo de Canarias, EuropaPress",https://perma.cc/2JRJ-EGTL,3
2025.MMP0018,2025.MMP0018,Incident,Mediterranean,2025-01-15,2025,2025,January,1,0,1,,,,,Unknown,Unknown,Drowning,Spain,Western Mediterranean,"Remains found on the beach of Sa Torreta, S'Espalmador, Balearic Islands, Spain","Restos encontrados en la playa de Sa Torreta, S'Espalmador, Islas Baleares, España",Sí,Sí,En España,"38.7931795, 1.419326217",38.7931795, 1.419326217,Uncategorized,"La Voz de Ibiza, Periódico de Ibiza y Formentera",https://perma.cc/5RAS-HGDL,3
2025.MMP0021,2025.MMP0021,Incident,Mediterranean,2025-01-10,2025,2025,January,1,0,1,,,,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"200 meters off the coast of s'Arenal de Llucmajor, renal, Balearic Islands, Spain","A 200 metros de la costa de s'Arenal de Llucmajor, Islas Baleares, España",Sí,Sí,En España,"39.502728, 2.743222",39.502728, 2.743222,Uncategorized,"Cronica Balear, Ultima Hora, Mallorca Diario",https://perma.cc/TJ49-V2EY,3
2025.MMP0006,2025.MMP0006,Incident,Mediterranean,2025-01-08,2025,2025,January,1,0,1,,,1,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"Off the coast of Sarchal Beach, near Ceuta, Spain","Frente a la costa de la playa de Sarchal, cerca de Ceuta, España",Sí,Sí,En España,"35.888957, -5.293273",35.888957, -5.293273,Uncategorized,La Verdad de Ceuta,https://perma.cc/Y9PJ-WGJ5,1
2025.MMP0007,2025.MMP0007,Incident,Mediterranean,2025-01-07,2025,2025,January,2,0,2,,,2,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"Remains found near the beach of Es Cavall d'en Borràs, Formentera, Balearic Islands, Spain","Restos encontrados cerca de la playa de Es Cavall d'en Borràs, Formentera, Islas Baleares, España",Sí,Sí,En España,"38.740007, 1.42941",38.740007, 1.42941,Uncategorized,"Telecinco, La Voz de Ibiza, Antena3",https://perma.cc/VW95-V65B,3
2025.MMP0004,2025.MMP0004,Incident,Mediterranean,2025-01-04,2025,2025,January,1,0,1,,,1,,Unknown,Northern Africa,Drowning,Spain,Western Mediterranean,"Near Santa Catalina cemetery, Ceuta, Spain","Cerca del cementerio de Santa Catalina, Ceuta, España",Sí,Sí,En España,"35.905348, -5.286363",35.905348, -5.286363,Uncategorized,"Europa Press, EFE via La Vanguardia, El Faro de Ceuta",https://perma.cc/V2PK-HC95,3
2025.MMP0001,2025.MMP0001,Incident,Northern Africa,2025-01-01,2025,2025,January,2,0,2,69,,,1,Unknown,Western Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Spain,Western Africa / Atlantic route to the Canary Islands,"Off the coast of Las Galletas, Tenerife, Canary Islands, Spain","Frente a la costa de Las Galletas, Tenerife, Islas Canarias, España",Sí,Sí,En España,"27.995729, -16.655447",27.995729, -16.655447,Uncategorized,"El Diario, El Debate, EuropaPress, Diario de Avisos, 112 Canarias, InfoMigrants",https://perma.cc/ZTT8-JS5L?type=standard,5
2024.MMP2385,"2024.MMP23852503,2024.MMP23852504,2024.MMP23852505",Split Incident,Northern Africa,2024-12-28,2024,2024,December,8,0,8,224,,2,1,"Gambia,Guinea,Unknown","Western Africa,Western Africa (P)",Violence,Spain,Western Africa / Atlantic route to the Canary Islands,"Unspecified location on the 7-day journey from Senegal to La Restinga Port, El Hierro, Canary Islands, Spain","Ubicación no especificada en el viaje de 7 días desde Senegal al puerto de La Restinga, El Hierro, Islas Canarias, España",Sí,Sí,En España,"27.593145, -17.981377",27.593145, -17.981377,Uncategorized,"Daily Mail, Reuters, Marine Link, Tenerife Weekly",https://perma.cc/C6V4-8M2B,3
2024.MMP2081,2024.MMP2081,Incident,Northern Africa,2024-12-26,2024,2024,December,1,0,1,54,,,,Unknown,Sub-Saharan Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Spain,Western Africa / Atlantic route to the Canary Islands,"100 miles south of La Restinga, Santa Cruz de Tenerife, Canary Islands, Spain","100 millas al sur de La Restinga, Santa Cruz de Tenerife, Islas Canarias, España",Sí,Sí,En España,"26.157899, -18.241483",26.157899, -18.241483,Uncategorized,"El Diario, EuropaPress, El Pais",https://perma.cc/Z75H-M2PQ,3
2024.MMP2075,2024.MMP2075,Incident,Mediterranean,2024-12-22,2024,2024,December,1,0,1,,,1,,Morocco,Northern Africa,Drowning,Spain,Western Mediterranean,"The beach near Fuente Caballos, Ceuta, Spain","La playa cerca de Fuente Caballos, Ceuta, España",Sí,Sí,En España,"35.885461, -5.311477",35.885461, -5.311477,Uncategorized,"Telecino, Diario de Sevilla, El Faro de Ceuta",https://perma.cc/46XH-DD6S,3
2024.MMP2076,2024.MMP2076,Incident,Mediterranean,2024-12-22,2024,2024,December,1,0,1,,,1,,Algeria,Northern Africa,Drowning,Spain,Western Mediterranean,"On the beach of Chorrillo, Ceuta, Spain","En la playa de Chorrillo, Ceuta, España",Sí,Sí,En España,"35.884474, -5.322843",35.884474, -5.322843,Uncategorized,"Telecino, Diario de Sevilla, El Pueblo de Ceuta, El Faro de Ceuta",https://perma.cc/46XH-DD6S,3
2024.MMP2077,2024.MMP2077,Incident,Northern Africa,2024-12-22,2024,2024,December,1,0,1,,,1,,Unknown,Western Africa (P),Drowning,Spain,Western Africa / Atlantic route to the Canary Islands,"Off the coast of Puertito de Güímar, Santa Cruz de Tenerife, Spain","Frente a la costa del Puertito de Güímar, Santa Cruz de Tenerife, España",Sí,Sí,En España,"28.291781, -16.372797",28.291781, -16.372797,Uncategorized,"Telecino, RTVC, El Dia",https://perma.cc/6MYU-JKXX,3
2024.MMP2067,"2024.MMP20672180,2024.MMP20672181",Split Incident,Northern Africa,2024-12-18,2024,2024,December,4,5,9,46,,,,Unknown,Sub-Saharan Africa,Drowning,Spain,Western Africa / Atlantic route to the Canary Islands,"137 kilometers off the coast of Lanzarote, Gran Canaria, Spain","A 137 kilómetros de la costa de Lanzarote, Gran Canaria, España",Sí,Sí,En España,"26.432276, -16.059336",26.432276, -16.059336,Uncategorized,"EFE, RTVE, Publico, La Gaceta, 112 Canarias",https://perma.cc/K9Z4-U4V3,5
2024.MMP2058,2024.MMP2058,Incident,Mediterranean,2024-12-14,2024,2024,December,2,5,7,11,,,,Unknown,Northern Africa,Drowning,Spain,Western Mediterranean,"Unspecified location 60 miles from la Pitiusa menor, Formentera, Balearic island, Spain","Ubicación no especificada a 60 millas de la Pitiusa Menor, Formentera, Islas Baleares, España",Sí,Sí,En España,"37.80879, 1.525284",37.80879, 1.525284,Uncategorized,"Cadena SER, infobae, Diario de Formentera",https://perma.cc/A8R4-RQTJ,3
2024.MMP2051,"2024.MMP20512158,2024.MMP20512159",Split Incident,Northern Africa,2024-12-11,2024,2024,December,5,0,5,76,,5,,Unknown,Western Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water,Sickness / lack of access to adequate healthcare",Spain,Western Africa / Atlantic route to the Canary Islands,"La Restinga Port in El Hierro, Canary Islands, Spain - embarkation from Noukachot, Mauritania 5 days prior","Puerto de La Restinga en El Hierro, Islas Canarias, España - embarque desde Noukachot, Mauritania 5 días antes",Sí,Sí,En España,"27.640604, -17.981717",27.640604, -17.981717,Uncategorized,"113 Emergency Service, EFE, El Confidencial,113 Emergency Service, EFE, El Confidencial, Info Migrants, AA",https://perma.cc/S8DZ-5325,"3,5"
2024.MMP2050,2024.MMP2050,Incident,Northern Africa,2024-12-11,2024,2024,December,1,0,1,61,,1,,Unknown,Western Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Spain,Western Africa / Atlantic route to the Canary Islands,"93km from El Hierro, Canary Islands, Spain - embarkation from Noukachot, Mauritania 3 days prior","A 93 km de El Hierro, Islas Canarias, España - embarque desde Noukachot, Mauritania 3 días antes",Sí,Sí,En España,"26.791847, -18.020145",26.791847, -18.020145,Uncategorized,"112 Emergency Service, EFE, El Confidencial",https://perma.cc/S8DZ-5325,5
2024.MMP2033,2024.MMP2033,Incident,Mediterranean,2024-12-02,2024,2024,December,1,0,1,16,,1,,Algeria,Northern Africa,Drowning,Spain,Western Mediterranean,"Remains recovered off the coast of Los Escullos beach, Nijar, Almeria, Spain","Restos recuperados frente a la costa de la playa de Los Escullos, Níjar, Almería, España",Sí,Sí,En España,"36.804925, -2.060664",36.804925, -2.060664,Uncategorized,IOM Spain,https://perma.cc/DX47-6BFP,4
2024.MMP2024,"2024.MMP20242118,2024.MMP20242119",Split Incident,Mediterranean,2024-11-28,2024,2024,November,2,7,9,2,,,,Morocco,Northern Africa,Vehicle accident / death linked to hazardous transport,Spain,Western Mediterranean,"9.26 kilometres of the coast of Adra, Almeria, Spain","9,26 kilómetros de la costa de Adra, Almería, España",Sí,Sí,En España,"36.654438, -3.021127",36.654438, -3.021127,Uncategorized,"Diario de Almeria, Ideal, Pressbee",https://perma.cc/DPY7-9FT7?type=image,3
2024.MMP1988,2024.MMP1988,Incident,Mediterranean,2024-11-18,2024,2024,November,2,0,2,,,,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"Between Almerimar and the lighthouse in El Ejido - Almería, Spain","Entre Almerimar y el faro de El Ejido - Almería, España",Sí,Sí,En España,"36.690593, -2.781427",36.690593, -2.781427,Uncategorized,"Emergencias 112 Andalucia, EFE via Diario de Almería",https://perma.cc/W65S-53RX,5
2024.MMP1715,2024.MMP1715,Incident,Mediterranean,2024-11-07,2024,2024,November,,1,1,7,,,,Unknown,Northern Africa (P),Drowning,Spain,Western Mediterranean,"30 miles off Almería, Spain","A 30 millas de Almería, España",Sí,Sí,En España,"36.401829, -2.379708",36.401829, -2.379708,Uncategorized,"Diario de Almería,La Voz de Almería, El Debate",https://perma.cc/JC3V-RPRX,3
2024.MMP1694,2024.MMP1694,Incident,Northern Africa,2024-11-05,2024,2024,November,2,0,2,,,2,,Morocco,Northern Africa,Drowning,Spain,Western Africa / Atlantic route to the Canary Islands,"11 km off the coast of Puerto Naos, Lanzarote, Canary Islands, Spain","A 11 km de la costa de Puerto Naos, Lanzarote, Islas Canarias, España",Sí,Sí,En España,"28.507264, -18.007467",28.507264, -18.007467,Uncategorized,"El Diario, La Voz de Lanzarote, InfoMigrants",https://perma.cc/2BG9-AFPW,3
2024.MMP1695,2024.MMP1695,Incident,Northern Africa,2024-11-04,2024,2024,November,1,0,1,149,,,,Unknown,Northern Africa (P),Drowning,Spain,Western Africa / Atlantic route to the Canary Islands,"320 kilometers south of La Restinga, El Hierro, Canary Islands, Spain","320 kilómetros al sur de La Restinga, El Hierro, Islas Canarias, España",Sí,Sí,En España,"25.298329, -18.617239",25.298329, -18.617239,Uncategorized,"112 Canarias, RTVE",https://perma.cc/8TGA-55AU,5
2024.MMP1683,2024.MMP1683,Incident,Northern Africa,2024-11-03,2024,2024,November,1,0,1,53,1,,,Morocco,Northern Africa,Drowning,Spain,Western Africa / Atlantic route to the Canary Islands,"Unspecified location near Lanzarote, Canary Islands, Spain","Ubicación no especificada cerca de Lanzarote, Islas Canarias, España",Sí,Sí,En España,"27.33229, -15.913947",27.33229, -15.913947,Uncategorized,"RTVC, vision360, Voice of America, El Chaplon, InfoMigrants",https://perma.cc/4DAE-RSDF?type=image,3
2024.MMP1680,2024.MMP1680,Incident,Northern Africa,2024-11-03,2024,2024,November,,5,5,17,,,,Unknown,Western Africa (P),Drowning,Spain,Western Africa / Atlantic route to the Canary Islands,"90 km off the coast of Lanzarote, Canary Islands, Spain","A 90 km de la costa de Lanzarote, Islas Canarias, España",Sí,Sí,En España,"26.676505, -16.215046",26.676505, -16.215046,Uncategorized,"Reuters, Voice of America",https://perma.cc/W9FS-WVXK,3
2024.MMP1682,2024.MMP1682,Incident,Northern Africa,2024-11-02,2024,2024,November,1,0,1,180,,,,Unknown,Western Africa (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Spain,Western Africa / Atlantic route to the Canary Islands,"Insular Hospital Nuestra Señora de los Reyes, Santa Cruz de Tenerife, El Hierro, Canary Islands, Spain","Hospital Insular Nuestra Señora de los Reyes, Santa Cruz de Tenerife, El Hierro, Islas Canarias, España",Sí,Sí,En España,"27.816599, -17.931626",27.816599, -17.931626,Uncategorized,"RTVC, vision360, Voice of America",https://perma.cc/4DAE-RSDF?type=image,3
